Model,I/E,N/S,T/F,J/P,Average
SVM (Original),76.84583579444772,86.23744831659775,75.84170112226816,64.38275251033669,75.82693443591258
SVM (Upsampled),75.01476668635559,84.5835794447726,76.43236857649144,63.02421736562316,74.76373301831069
SVM (Class Weights),74.187832250443,82.92971057294743,76.49143532191376,62.49261665682221,74.02539870053158
SVM (Optimal),77.20023626698169,86.23744831659775,76.37330183106911,62.31541642055522,75.53160070880094
LR (Original),77.20023626698169,86.06024808033077,53.8098050797401,60.24808033077378,69.32959243945659
LR (Upsampled),73.41996455995275,80.74424099232132,75.66450088600118,62.07914943886592,72.9769639692853
LR (Optimal),74.54223272297696,84.70171293561725,76.43236857649144,59.71647962197283,73.84819846426463
NB (BOW),71.58,78.79,77.88,66.65,73.725
NB (TF-IDF),73.64,78.89,76.67,67.19,74.0975
